title,content
"The story of Ubuntu","Your submission was sent successfully! Close
          
        
      
    
    
      
        
          
            You have successfully unsubscribed! Close
          
        
      
    
    
      
      
      
  


  
    
      The story of Ubuntu
    
  
  
    
      ubuntu |oǒ’boǒntoō|
      Ubuntu is an ancient African word meaning ‘humanity to others’. It is often described as reminding us that ‘I am what I am because of who we all are’. We bring the spirit of Ubuntu to the world of computers and software. The Ubuntu distribution represents the best of what the world’s software community has shared with the world.
      Where did it all begin?
      Linux was already established in 2004, but it was fragmented into proprietary and unsupported community editions, and free software was not a part of everyday life for most computer users. That’s when Mark Shuttleworth gathered a small team of Debian developers who together founded Canonical and set out to create an easy-to-use Linux desktop called Ubuntu.
      The mission for Ubuntu is both social and economic. First, we deliver the world’s free software, freely, to everybody on the same terms. Whether you are a student in India or a global bank, you can download and use Ubuntu free of charge. Second, we aim to cut the cost of professional services - support, management, maintenance, operations - for people who use Ubuntu at scale, through a portfolio of services provided by Canonical which ultimately fund the improvement of the platform.
      Ubuntu releases
      Ubuntu was the first operating system to commit to scheduled releases on a predictable cadence, every six months, starting in October 2004. In 2006 we decided that every fourth release, made every two years, would receive long-term support for large-scale deployments. This is the origin of the term LTS for stable, maintained releases.
    
  
  
    
      
      
        
          
             
            Released
            End of Life
            Expanded security maintenance
          
        
        
          
            Ubuntu 19.10
            Oct 2019
            Jul 2020
             
          
          
            Ubuntu 20.04 LTS
            Apr 2020
            Apr 2025
            Apr 2030
          
          
            Ubuntu 20.10
            Oct 2020
            Jul 2021
             
          
          
            Ubuntu 21.10
            Oct 2021
            Jul 2022
             
          
          
            Ubuntu 21.04
            Apr 2021
            Jan 2022
             
          
          
            Ubuntu 22.04 LTS
            Apr 2022
            Apr 2027
            Apr 2032
          
        
      
    
  
  
    
      The commercial and community teams collaborate to produce a single, high-quality release, which receives ongoing maintenance for a defined period. Both the release and ongoing updates for core packages are freely available to all users.
      Commercial users engage with Canonical to gain access to support, consulting, management tools, managed services and expanded security maintenance.
      Find out more about the Ubuntu lifecycle ›
      Governance
      Canonical is the publisher of Ubuntu. Members of the Canonical team lead aspects of Ubuntu such as the kernel, default desktop, foundations, security, OpenStack, and Kubernetes.
      However, the governance of Ubuntu is somewhat independent of Canonical, with volunteer leaders from around the world taking responsibility for many critical elements of the project. Mark Shuttleworth, as project founder, short-lists public nominees as candidates for the Community Council and Technical Board, and they in turn screen and nominate candidates for a wide range of boards, councils and teams that take responsibility for aspects of the project.
      It remains a key tenet of the Ubuntu Project that Ubuntu is a shared work between Canonical, other companies, and the thousands of volunteers who bring their expertise to bear on making it a world-class platform for anyone to use.
      Ubuntu today
      The first official Ubuntu release — Version 4.10, codenamed the ‘Warty Warthog’ — was launched in October 2004, and sparked dramatic global interest as thousands of free software enthusiasts and experts joined the Ubuntu community.
      Ubuntu today has many flavours and dozens of specialised derivatives. There are also special editions for servers, OpenStack clouds, and connected devices. All editions share common infrastructure and software, making Ubuntu a unique single platform that scales from consumer electronics to the desktop and up into the cloud for enterprise computing.
      The Ubuntu desktop is by far the world’s most widely used Linux workstation platform, powering the work of engineers across the globe. Ubuntu Core sets the standard for tiny, transactional operating systems for highly secure connected devices. Ubuntu Server is the reference operating system for the OpenStack project, and a hugely popular guest OS on AWS, Azure and Google Cloud. Ubuntu is pre-installed on computers from Dell, HP, Asus, Lenovo and other global vendors.
      We hope Ubuntu will bring something wonderful to your computing — and we hope that you’ll join us in helping to shape and build the future of free software together.
    
  





  
  
    
       
  Want a fully managed private cloud?
  Canonical provides a managed services option for OpenStack. Our experts take responsibility for the design, deployment and operations.
  Learn more ›
  Contact us
 
    
    
       
  Get Ubuntu
  The open source software platform that runs everywhere from the smartphone, the tablet and the PC to the server and the cloud.
  Download Ubuntu ›
 
    
    
       
  Further reading
  
  
    Accelerating the adoption of AI in banking with MLOps
  

  
    Upgrade your existing Ubuntu LTS instances to Ubuntu Pro in AWS
  

  
    Optimise your ROS snap – Part 6
  







  canonicalLatestNews.fetchLatestNews(
    {
      articlesContainerSelector: "#latest-articles",
      articleTemplateSelector: "#article-template",
      limit: "",
      
      
    }
  )"
"ubuntu |oǒ’boǒntoō|","ubuntu |oǒ’boǒntoō|
      Ubuntu is an ancient African word meaning ‘humanity to others’. It is often described as reminding us that ‘I am what I am because of who we all are’. We bring the spirit of Ubuntu to the world of computers and software. The Ubuntu distribution represents the best of what the world’s software community has shared with the world.
      Where did it all begin?
      Linux was already established in 2004, but it was fragmented into proprietary and unsupported community editions, and free software was not a part of everyday life for most computer users. That’s when Mark Shuttleworth gathered a small team of Debian developers who together founded Canonical and set out to create an easy-to-use Linux desktop called Ubuntu.
      The mission for Ubuntu is both social and economic. First, we deliver the world’s free software, freely, to everybody on the same terms. Whether you are a student in India or a global bank, you can download and use Ubuntu free of charge. Second, we aim to cut the cost of professional services - support, management, maintenance, operations - for people who use Ubuntu at scale, through a portfolio of services provided by Canonical which ultimately fund the improvement of the platform.
      Ubuntu releases
      Ubuntu was the first operating system to commit to scheduled releases on a predictable cadence, every six months, starting in October 2004. In 2006 we decided that every fourth release, made every two years, would receive long-term support for large-scale deployments. This is the origin of the term LTS for stable, maintained releases."
Governance,"The commercial and community teams collaborate to produce a single, high-quality release, which receives ongoing maintenance for a defined period. Both the release and ongoing updates for core packages are freely available to all users.
      Commercial users engage with Canonical to gain access to support, consulting, management tools, managed services and expanded security maintenance.
      Find out more about the Ubuntu lifecycle ›
      Governance
      Canonical is the publisher of Ubuntu. Members of the Canonical team lead aspects of Ubuntu such as the kernel, default desktop, foundations, security, OpenStack, and Kubernetes.
      However, the governance of Ubuntu is somewhat independent of Canonical, with volunteer leaders from around the world taking responsibility for many critical elements of the project. Mark Shuttleworth, as project founder, short-lists public nominees as candidates for the Community Council and Technical Board, and they in turn screen and nominate candidates for a wide range of boards, councils and teams that take responsibility for aspects of the project.
      It remains a key tenet of the Ubuntu Project that Ubuntu is a shared work between Canonical, other companies, and the thousands of volunteers who bring their expertise to bear on making it a world-class platform for anyone to use.
      Ubuntu today
      The first official Ubuntu release — Version 4.10, codenamed the ‘Warty Warthog’ — was launched in October 2004, and sparked dramatic global interest as thousands of free software enthusiasts and experts joined the Ubuntu community.
      Ubuntu today has many flavours and dozens of specialised derivatives. There are also special editions for servers, OpenStack clouds, and connected devices. All editions share common infrastructure and software, making Ubuntu a unique single platform that scales from consumer electronics to the desktop and up into the cloud for enterprise computing.
      The Ubuntu desktop is by far the world’s most widely used Linux workstation platform, powering the work of engineers across the globe. Ubuntu Core sets the standard for tiny, transactional operating systems for highly secure connected devices. Ubuntu Server is the reference operating system for the OpenStack project, and a hugely popular guest OS on AWS, Azure and Google Cloud. Ubuntu is pre-installed on computers from Dell, HP, Asus, Lenovo and other global vendors.
      We hope Ubuntu will bring something wonderful to your computing — and we hope that you’ll join us in helping to shape and build the future of free software together."
"Want a fully managed private cloud?","Want a fully managed private cloud?
  Canonical provides a managed services option for OpenStack. Our experts take responsibility for the design, deployment and operations.
  Learn more ›
  Contact us
 
    
    
       
  Get Ubuntu
  The open source software platform that runs everywhere from the smartphone, the tablet and the PC to the server and the cloud.
  Download Ubuntu ›
 
    
    
       
  Further reading
  
  
    Accelerating the adoption of AI in banking with MLOps
  

  
    Upgrade your existing Ubuntu LTS instances to Ubuntu Pro in AWS
  

  
    Optimise your ROS snap – Part 6
  







  canonicalLatestNews.fetchLatestNews(
    {
      articlesContainerSelector: "#latest-articles",
      articleTemplateSelector: "#article-template",
      limit: "",
      
      
    }
  )"
"Get Ubuntu","Get Ubuntu
  The open source software platform that runs everywhere from the smartphone, the tablet and the PC to the server and the cloud.
  Download Ubuntu ›"
"Further reading","Further reading
  
  
    Accelerating the adoption of AI in banking with MLOps
  

  
    Upgrade your existing Ubuntu LTS instances to Ubuntu Pro in AWS
  

  
    Optimise your ROS snap – Part 6"
"OpenStack
    OpenStack","Back to top
    
      
        
          
          
  
    OpenStack
    OpenStack
  

  
    
      
    
      
      
        What is OpenStack
      
      
    
      
      
        Features
      
      
    
      
      
        Managed
      
      
    
      
      
        Consulting
      
      
    
      
      
        Install
      
      
    
      
      
        Support
      
      
    
  

          
          
          
  
    Ceph
    Ceph
  

  
    
      
    
      
      
        What is Ceph
      
      
    
      
      
        Managed
      
      
    
      
      
        Consulting
      
      
    
      
      
        Docs
      
      
    
      
      
        Install
      
      
    
  

          
          
          
  
    Managed
    Managed
  

  
    
      
    
      
      
        OpenStack
      
      
    
      
      
        Kubernetes
      
      
    
      
      
        Ceph
      
      
    
      
      
        Apps
      
      
    
      
      
        Observability
      
      
    
  

          
        
      
      
        
          
          
  
    Kubernetes
    Kubernetes
  

  
    
      
    
      
      
        What is Kubernetes
      
      
    
      
      
        Charmed Kubernetes
      
      
    
      
      
        Managed
      
      
    
      
      
        Install
      
      
    
      
      
        Docs
      
      
    
      
      
        Resources
      
      
    
  

          
          
          
  
    AI / ML
    AI / ML
  

  
    
      
    
      
      
        What is Kubeflow
      
      
    
      
      
        Services
      
      
    
  

          
          
          
  
    Robotics
    Robotics
  

  
    
      
    
      
      
        ROS ESM
      
      
    
      
      
        What is ROS
      
      
    
      
      
        Community
      
      
    
      
      
        Docs
      
      
    
  

          
          
          
  
    Cloud
    Cloud
  

  
    
      
    
      
      
        What is cloud computing
      
      
    
      
      
        What is private cloud
      
      
    
      
      
        What is hybrid cloud
      
      
    
      
      
        What is multi-cloud
      
      
    
      
      
        Public cloud
      
      
    
  

          
        
      
      
        
          
          
  
    IoT
    IoT
  

  
    
      
    
      
      
        App store
      
      
    
      
      
        Embedded Linux
      
      
    
      
      
        EdgeX
      
      
    
      
      
        Management
      
      
    
  

          
          
          
  
    Raspberry Pi
    Raspberry Pi
  

  
    
      
    
      
      
        Desktop
      
      
    
      
      
        Server
      
      
    
  

          
          
          
  
    Core
    Core
  

  
    
      
    
      
      
        Consulting
      
      
    
      
      
        Success stories
      
      
    
      
      
        Features
      
      
    
      
      
        Tutorials
      
      
    
      
      
        Docs
      
      
    
  

          
        
      
      
        
          
          
  
    Desktop
    Desktop
  

  
    
      
    
      
      
        Features
      
      
    
      
      
        Organisations
      
      
    
      
      
        Developers
      
      
    
      
      
        Partners
      
      
    
      
      
        Flavours
      
      
    
  

          
          
          
  
    Server
    Server
  

  
    
      
    
      
      
        Hyperscale
      
      
    
      
      
        Docs
      
      
    
  

          
          
          
  
    Security
    Security
  

  
    
      
    
      
      
        ESM
      
      
    
      
      
        Livepatch
      
      
    
      
      
        Certifications & Hardening
      
      
    
      
      
        CVEs
      
      
    
      
      
        Notices
      
      
    
      
      
        Docker Images
      
      
    
  

          
        
      
      
        
          
          
  
    Downloads
    Downloads
  

  
    
      
    
      
      
        Desktop
      
      
    
      
      
        Server
      
      
    
      
      
        IoT
      
      
    
      
      
        Cloud
      
      
    
  

          
          
          
  
    Observability
    Observability
  

  
    
      
    
      
      
        What is observability
      
      
    
      
      
        Managed
      
      
    
  

          
          
          
  
    Appliance
    Appliance
  

  
    
      
    
      
      
        About
      
      
    
      
      
        Portfolio
      
      
    
      
      
        Community
      
      
    
      
      
        Hardware
      
      
    
      
      
        Virtual machines
      
      
    
  

          
        
      
      
        
          
          
  
    Support
    Support
  

  
    
      
    
      
      
        Your subscriptions
      
      
    
      
      
        Account users
      
      
    
      
      
        Support
      
      
    
      
      
        Pricing
      
      
    
      
      
        Discourse
      
      
    
  

          
          
          
  
    Pricing
    Pricing
  

  
    
      
    
      
      
        Support
      
      
    
      
      
        Consulting
      
      
    
      
      
        Desktops
      
      
    
      
      
        Devices
      
      
    
  

          
          
            
              Sectors
            
            
              Automotive
              Industrial
              Government
              Telco
              Finance
            
          
          
            
              
              

  Containers

              
              
              

  Tutorials

              
              
              

  16-04

              
              
                Model-driven operations
              

              
                Landscape
              

              
                Canonical Embedding Programme
              
            
          
        
      
    
    
    
      
        
          
            
              Contact us
            
            
              Contact us
            
            
              About us
            
            
              Community
            
            
              Careers
            
            
              Blog
            
            
              Resources
            
            
              Press centre
            
          
        

        © 2023 Canonical Ltd. Ubuntu and Canonical are
    registered trademarks of Canonical Ltd.

  
    
      Legal information
    
    
      Data privacy
    
    
      Manage your tracker settings
    
    
      
        Report a bug on this site
      
    
  

        
        
          
            
              
                
                  
                    .twitter-icon {
                      fill: #666666;
                    }

                    .cls-2 {
                      fill: #fff;
                    }
                  
                
                
                  
                
                
              
            
            
              
                
                  
                    .facebook-icon {
                      fill: #666666;
                    }

                    .cls-2 {
                      fill: #fff;
                    }
                  
                
                
                  
                
                
              
            
            
              
                
                  
                    .linkedin-icon {
                      fill: #666666;
                    }

                    .cls-2 {
                      fill: #fff;
                    }
                  
                
                
                  
                
                
              
            
            
              
                
                  
                    .rss-icon {
                      fill: #666666;
                    }

                    .cls-2 {
                      fill: #E5E5E5;
                    }
                  
                
                
                  
                
                
                  
                  
                  
                
              
            
          
        
      
    

    
      /* Add the page to the report a bug link */
      var bugLink = document.querySelector('#report-a-bug');
      bugLink.href += '?body=%0a%0a%0a---%0a*Reported%20from:%20' + location.href + '*';
    
    Go to the top of the page"
"Kubernetes
    Kubernetes","Kubernetes
    Kubernetes
  

  
    
      
    
      
      
        What is Kubernetes
      
      
    
      
      
        Charmed Kubernetes
      
      
    
      
      
        Managed
      
      
    
      
      
        Install
      
      
    
      
      
        Docs
      
      
    
      
      
        Resources
      
      
    
  

          
          
          
  
    AI / ML
    AI / ML
  

  
    
      
    
      
      
        What is Kubeflow
      
      
    
      
      
        Services
      
      
    
  

          
          
          
  
    Robotics
    Robotics
  

  
    
      
    
      
      
        ROS ESM
      
      
    
      
      
        What is ROS
      
      
    
      
      
        Community
      
      
    
      
      
        Docs
      
      
    
  

          
          
          
  
    Cloud
    Cloud
  

  
    
      
    
      
      
        What is cloud computing
      
      
    
      
      
        What is private cloud
      
      
    
      
      
        What is hybrid cloud
      
      
    
      
      
        What is multi-cloud
      
      
    
      
      
        Public cloud"
"IoT
    IoT","IoT
    IoT
  

  
    
      
    
      
      
        App store
      
      
    
      
      
        Embedded Linux
      
      
    
      
      
        EdgeX
      
      
    
      
      
        Management
      
      
    
  

          
          
          
  
    Raspberry Pi
    Raspberry Pi
  

  
    
      
    
      
      
        Desktop
      
      
    
      
      
        Server
      
      
    
  

          
          
          
  
    Core
    Core
  

  
    
      
    
      
      
        Consulting
      
      
    
      
      
        Success stories
      
      
    
      
      
        Features
      
      
    
      
      
        Tutorials
      
      
    
      
      
        Docs"
"Desktop
    Desktop","Desktop
    Desktop
  

  
    
      
    
      
      
        Features
      
      
    
      
      
        Organisations
      
      
    
      
      
        Developers
      
      
    
      
      
        Partners
      
      
    
      
      
        Flavours
      
      
    
  

          
          
          
  
    Server
    Server
  

  
    
      
    
      
      
        Hyperscale
      
      
    
      
      
        Docs
      
      
    
  

          
          
          
  
    Security
    Security
  

  
    
      
    
      
      
        ESM
      
      
    
      
      
        Livepatch
      
      
    
      
      
        Certifications & Hardening
      
      
    
      
      
        CVEs
      
      
    
      
      
        Notices
      
      
    
      
      
        Docker Images"
"Downloads
    Downloads","Downloads
    Downloads
  

  
    
      
    
      
      
        Desktop
      
      
    
      
      
        Server
      
      
    
      
      
        IoT
      
      
    
      
      
        Cloud
      
      
    
  

          
          
          
  
    Observability
    Observability
  

  
    
      
    
      
      
        What is observability
      
      
    
      
      
        Managed
      
      
    
  

          
          
          
  
    Appliance
    Appliance
  

  
    
      
    
      
      
        About
      
      
    
      
      
        Portfolio
      
      
    
      
      
        Community
      
      
    
      
      
        Hardware
      
      
    
      
      
        Virtual machines"
"Support
    Support","Support
    Support
  

  
    
      
    
      
      
        Your subscriptions
      
      
    
      
      
        Account users
      
      
    
      
      
        Support
      
      
    
      
      
        Pricing
      
      
    
      
      
        Discourse
      
      
    
  

          
          
          
  
    Pricing
    Pricing
  

  
    
      
    
      
      
        Support
      
      
    
      
      
        Consulting
      
      
    
      
      
        Desktops
      
      
    
      
      
        Devices
      
      
    
  

          
          
            
              Sectors
            
            
              Automotive
              Industrial
              Government
              Telco
              Finance
            
          
          
            
              
              

  Containers

              
              
              

  Tutorials

              
              
              

  16-04

              
              
                Model-driven operations
              

              
                Landscape
              

              
                Canonical Embedding Programme"
"Your tracker settings","Your tracker settings
        
        
          We use cookies and similar methods to recognise visitors and remember preferences. We also use them to measure campaign effectiveness and analyse site traffic.
          By selecting ‘Accept‘, you consent to the use of these methods by us and trusted third parties.
          For further details or to change your consent choices at any time see our cookie policy.
          
            Accept all and visit site
            Manage your tracker settings"
